2026-06-03T23:21:46.517951|g|session_1780520105404|question|come posso andare a cividale partendo da udine||
2026-06-03T23:21:48.030346|api||question|come posso andare a cividale partendo da udine|1508.21|granite4:3b
2026-06-03T23:22:58.471809|g|session_1780520105404|question|come posso andare a premariacco partendo da udine||
2026-06-03T23:23:00.044141|api||question|come posso andare a premariacco partendo da udine|1568.69|granite4:3b
2026-06-04T22:51:06.829341|g|None|login|web:modal||
2026-06-04T22:51:23.681012|g|session_1780606283669|question|ciao, cosa puoi fare per me?||
2026-06-04T22:51:54.274744|g|session_1780606283669|question|come posso arrivare a cividale partendo da gemona del friuli?||
2026-06-04T22:52:07.389446|g|session_1780606283669|question|come posso arrivare a gemona del friuli partendo da udine?||
2026-06-04T22:53:12.868870|g|None|login|web:modal||
2026-06-04T22:53:23.862942|g|session_1780606403850|question|ciao, cosa sai fare?||
2026-06-04T23:11:18.262696|g|None|login|web:modal||
2026-06-04T23:11:23.396948|g|session_1780607483384|question|cosa sai fare?||
2026-06-04T23:24:55.382279|g|None|login|web:modal||
2026-06-04T23:25:00.388881|g|session_1780608300376|question|cosa sai fare?||
2026-06-04T23:25:15.226271|api||question|cosa sai fare?|14821.26|granite4:3b
2026-06-04T23:25:45.218040|g|session_1780608300376|question|come posso arrivare a gemona del friuli partendo da udine?||
2026-06-04T23:25:46.871155|api||question|come posso arrivare a gemona del friuli partendo d|1637.89|granite4:3b
2026-06-04T23:27:21.172788|g|session_1780608300376|question|come posso arrivare a gemona del friuli, autostazione, partendo da udine?||
2026-06-04T23:27:22.795182|api||question|come posso arrivare a gemona del friuli, autostazi|1607.75|granite4:3b
2026-06-04T23:29:45.360560|g|None|login|web:modal||
2026-06-04T23:30:05.590915|g|session_1780608605578|question|come posso arrivare a gemona del friuli partendo da udine?||
2026-06-04T23:30:08.413515|api||question|come posso arrivare a gemona del friuli partendo d|2784.98|granite4:3b
2026-06-04T23:32:27.414303|g|None|login|web:modal||
2026-06-04T23:33:11.545402|g|session_1780608791533|question|Come arrivare da Udine a Gemona?||
2026-06-04T23:33:14.781634|api||question|Come arrivare da Udine a Gemona?|3220.72|granite4:3b
2026-06-04T23:33:22.404063|g|session_1780608791533|question|Come arrivare da Marsiglia a Londra?||
2026-06-04T23:33:24.288593|api||question|Come arrivare da Marsiglia a Londra?|1869.74|granite4:3b
2026-06-04T23:33:35.406029|g|session_1780608791533|question|Orari autobus?||
2026-06-04T23:33:37.526390|api||question|Orari autobus?|2104.8|granite4:3b
2026-06-04T23:36:17.679381|g|None|login|web:modal||
2026-06-04T23:36:32.934705|g|session_1780608992921|question|come arrivare da Udine a Gemona?||
2026-06-04T23:36:35.235851|api||question|come arrivare da Udine a Gemona?|2285.47|granite4:3b
2026-06-04T23:37:55.869157|g|None|login|web:modal||
2026-06-04T23:38:03.375744|g|session_1780609083360|question|Come arrivare da Udine a Gemona?||
2026-06-04T23:38:04.290768|api||question|Come arrivare da Udine a Gemona?|898.83|granite4:3b
2026-06-04T23:38:12.227876|g|session_1780609083360|question|Fermate a Gemona?||
2026-06-04T23:38:14.300438|api||question|Fermate a Gemona?|2057.84|granite4:3b
2026-06-04T23:38:21.324684|g|session_1780609083360|question|Come arrivare da Marte a Venere?||
2026-06-04T23:38:23.401053|api||question|Come arrivare da Marte a Venere?|2061.1|granite4:3b
2026-06-04T23:41:03.770769|g|None|login|web:modal||
2026-06-04T23:41:31.848961|g|session_1780609291836|question|Come arrivare da Udine a Gemona?||
2026-06-04T23:41:50.331077|api||question|Come arrivare da Udine a Gemona?|18466.59|granite4:3b
2026-06-04T23:42:38.368930|g|session_1780609291836|question|Fermate a Gemona?||
2026-06-04T23:42:51.407052|api||question|Fermate a Gemona?|13023.41|granite4:3b
2026-06-04T23:43:17.399519|g|session_1780609291836|question|come posso arrivare a gemona partendo da udine||
2026-06-04T23:43:33.284271|api||question|come posso arrivare a gemona partendo da udine|15870.04|granite4:3b
2026-06-04T23:46:24.972938|g|None|login|web:modal||
2026-06-04T23:46:27.296003|g|session_1780609587283|question|come posso arrivare a gemona partendo da udine||
